Language, Last Commit, Repo Name, Visibility, Size, Collaborators, Forks, Deleted Status
,2021-10-31 17:22:10 UTC,github/welcome,public,101 KB, sglesk200 pgadda200 mcrame200 dgagli200 aloder000 aquigl200 WSchmi001 kkhare201 eweise200 jrivie000 cell201 scolli010 amarsh205 mevans210 pcline200 fweind200, false, false
Ruby,2014-10-29 14:30:34 UTC,xbo/gateway,public,268 KB, mevans210 jwinte208, false, false
Scala,2014-11-11 16:35:05 UTC,CAP/Comcast-Web-Services-Portal,public,4.69 MB, tbarke204 kfello201 jwakem200 agurne200 plee208 pcline201 mbyron200, false, false
Perl,2014-10-31 18:33:32 UTC,CPT/device-actuary,public,136 KB, WSchmi001, false, false
Java,2017-07-21 15:40:50 UTC,graveyard/accountContentEventWebService,public,2.28 MB, , false, false
,2014-09-19 15:19:16 UTC,CAP/CodeBig,public,104 KB, mbyron200, false, false
Scala,2018-09-18 14:08:06 UTC,CAP/PulsarDB,public,13.5 MB, pcline201 tbarke204 rstar201 sramak001 awang200 pwilli601 jwakem200 pclear200 plee208 agurne200 jpark204 dthomp234 kfello201 mbyron200 DDIKSH200 smuir201 mmatte201 scribb201 rbarri747 neskan200 bwrigh833 mbevil0249k lcori200 gshah200 mdanif001 ssomas200 dgagli200 jsande216 djin209, false, false
Python,2014-09-19 15:41:36 UTC,CAP/delegit,public,136 KB, tbarke204 agurne200, false, false
Python,2014-09-19 15:45:17 UTC,CAP/outfit,public,224 KB, pcline201 tbarke204, false, false

